accession,not_gii,partial,under_length_threshold,duplicated,not_annotated,ambiguous
MZ546177.1,True,False,False,False,False,False
MZ546178.1,True,False,False,False,False,False
MZ546179.1,True,False,False,False,False,False
MZ546180.1,True,False,False,False,False,False
MZ546181.1,True,False,False,False,False,False
MZ546182.1,True,False,False,False,False,False
MZ546183.1,True,False,False,False,False,False
NC_029647.1,True,False,False,False,False,False
NC_039475.1,True,False,False,False,False,False
NC_039897.1,True,False,False,False,False,False
NC_044045.1,True,False,False,False,False,False
NC_044046.1,True,False,False,False,False,False
NC_044853.1,True,False,False,False,False,False
NC_044854.1,True,False,False,False,False,False
NC_044855.1,True,False,False,False,False,False
NC_044856.1,True,False,False,False,False,False
OP649638.1,True,False,False,False,False,False
OR050582.1,True,False,False,False,False,False
OR050583.1,True,False,False,False,False,False
OR050584.1,True,False,False,False,False,False
OR050585.1,True,False,False,False,False,False
OR050586.1,True,False,False,False,False,False
OR084254.1,True,False,False,False,False,False
PQ583776.1,True,False,False,False,False,False
PQ583779.1,True,False,False,False,False,False
PQ626688.1,True,False,False,False,False,False
PX458189.1,True,False,False,False,False,False
PX458203.1,True,False,False,False,False,False
PX458204.1,True,False,False,False,False,False
PX458209.1,True,False,False,False,False,False
PX458235.1,True,False,False,False,False,False
PX458240.1,True,False,False,False,False,False
PX458251.1,True,False,False,False,False,False
PX458264.1,True,False,False,False,False,False
PZ261142.1,True,False,False,False,False,False
