accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,genotype,genotype_subtype,vp1_start,vp1_end
OR536470.1,80.53736,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536472.1,80.570946,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536473.1,80.52057,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536475.1,80.769226,0,7543,7543,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536476.1,80.52057,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536477.1,80.78925,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536478.1,80.806046,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536479.1,80.53736,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536480.1,80.654915,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536481.1,80.55416,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536482.1,80.654915,0,7543,7543,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536483.1,80.722084,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536484.1,80.722084,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536485.1,80.58774,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536486.1,80.722084,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536487.1,80.75567,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536488.1,80.60454,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536489.1,80.58774,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536490.1,80.53736,0,7540,7540,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536491.1,80.76664,0,7547,7547,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR536492.1,80.49765,0,7540,7540,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
OR844370.1,85.18944,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844371.1,85.25504,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844372.1,85.18944,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844373.1,85.313995,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844374.1,85.313995,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844375.1,84.98114,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844376.1,85.36344,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844377.1,85.28103,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844378.1,85.600815,0,7559,7559,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
OR844379.1,85.572556,0,7553,7553,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844380.1,85.572556,0,7553,7553,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844381.1,85.53893,0,7553,7553,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
OR844382.1,85.600815,0,7559,7559,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
OR844383.1,85.33714,0,7559,7559,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
PP381824.1,75.84288,0,7547,7553,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PP498986.1,85.24806,0,7562,7556,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
PP498987.1,85.24806,0,7562,7556,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
PP498988.1,85.27132,-2,7565,7561,GII.P31,None,3574.0,5103.0,GII.4,Sydney_2012,5087,6709
PP549876.1,75.97563,0,7561,7555,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549877.1,75.81097,0,7558,7552,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549878.1,75.81097,0,7568,7562,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549879.1,75.942696,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549880.1,75.92623,0,7570,7564,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549881.1,76.19688,0,7572,7572,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549882.1,75.8933,0,7570,7564,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549883.1,75.8933,0,7570,7564,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549884.1,75.87683,0,7575,7569,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP549885.1,75.90977,0,7568,7562,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PP587392.1,75.95745,0,7555,7561,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PP587393.1,75.94108,0,7555,7561,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PP658552.1,84.43497,0,7565,7562,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PP658553.1,85.07463,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
PP661667.1,75.90977,0,7577,7571,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ100946.1,86.58288,6,7550,7547,GII.P7,None,3566.0,5095.0,GII.7,None,5079,6701
PQ100947.1,86.6678,6,7550,7547,GII.P7,None,3566.0,5095.0,GII.7,None,5079,6701
PQ100948.1,86.6678,6,7550,7547,GII.P7,None,3566.0,5095.0,GII.7,None,5079,6701
PQ100949.1,86.803665,6,7550,7547,GII.P7,None,3566.0,5095.0,GII.7,None,5079,6701
PQ213436.1,84.68099,0,7565,7559,GII.P4,Den_Haag_2006b,3572.0,5101.0,GII.4,New_Orleans_2009,5085,6707
PQ213437.1,84.71379,0,7565,7559,GII.P4,Den_Haag_2006b,3572.0,5101.0,GII.4,New_Orleans_2009,5085,6707
PQ215525.1,75.58178,0,7567,7561,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215528.1,75.50385,0,7567,7561,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215538.1,75.487465,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215539.1,75.4547,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215540.1,75.487465,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215541.1,75.47108,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215542.1,75.50385,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215543.1,75.53662,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215544.1,75.55301,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215545.1,75.58578,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215546.1,75.58578,0,7572,7566,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PQ215575.1,83.63868,0,7570,7567,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
PQ215578.1,84.238144,0,7569,7563,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
PQ215579.1,84.55579,0,7570,7564,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
PQ218468.1,85.173035,0,7574,7568,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
PQ273182.1,89.118385,0,7613,7613,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
PQ273184.1,89.135185,0,7577,7577,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
PQ273185.1,89.118385,0,7577,7577,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
PQ273187.1,87.65432,6,7565,7556,GII.P7,None,3566.0,5095.0,GII.6,None,5079,6728
PQ273190.1,89.0848,0,7552,7552,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
PQ273194.1,76.59191,0,7533,7533,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
PQ273195.1,76.55917,0,7570,7570,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
PQ273196.1,75.84518,0,7644,7650,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ273200.1,89.10159,0,7570,7570,GII.P12,None,3572.0,5101.0,GII.3,None,5085,6731
PQ304610.1,75.70797,0,7554,7560,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ304611.1,75.740715,0,7554,7560,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ304614.1,75.740715,0,7554,7560,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ304633.1,75.49485,-1,7541,7554,GII.P17,None,3582.0,5111.0,GII.17,None,5095,6720
PQ310235.1,75.79378,0,7554,7560,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ310459.1,75.57664,0,7536,7548,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6719
PQ310518.1,75.973816,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ310519.1,75.92471,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ310520.1,75.973816,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ310521.1,75.99018,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ310522.1,75.973816,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373120.1,75.84518,0,7541,7547,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373121.1,75.84518,0,7547,7553,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373122.1,75.84518,0,7543,7549,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373123.1,75.812515,0,7551,7557,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373124.1,75.86151,0,7540,7546,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373126.1,75.76351,0,7551,7557,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373127.1,75.74718,0,7551,7557,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PQ373131.1,75.74468,0,7544,7550,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373132.1,75.76105,0,7544,7550,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373133.1,75.679214,0,7545,7551,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373138.1,75.78827,0,7545,7551,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373139.1,75.87562,0,7545,7551,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373140.1,75.87562,0,7545,7551,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PQ373142.1,75.77741,0,7544,7550,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV275040.1,83.76251,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275044.1,83.860916,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275045.1,83.88261,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275046.1,83.94292,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275052.1,83.66409,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275060.1,84.05773,0,7570,7567,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6710
PV275062.1,82.22113,-18,7570,7585,GII.P4,New_Orleans_2009,3590.0,5119.0,GII.4,Could not assign,5103,6725
PV635313.1,75.74718,0,7545,7551,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PV750877.1,75.90046,0,7550,7556,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV750882.1,75.90835,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV750891.1,75.87619,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV750894.1,75.87562,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV765567.1,75.859245,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV765571.1,75.859245,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784272.1,75.94108,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784273.1,75.859245,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784275.1,75.84288,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784277.1,75.87562,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784279.1,75.90835,0,7543,7549,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784285.1,75.84288,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784287.1,75.77741,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784296.1,75.95745,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784297.1,75.95745,0,7534,7540,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784298.1,75.95745,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784302.1,75.90835,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784303.1,75.99018,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784304.1,76.006546,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784318.1,75.973816,0,7551,7557,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784323.1,76.039276,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784324.1,76.02291,0,7536,7542,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784331.1,75.95745,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784338.1,75.95745,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784344.1,75.973816,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784345.1,75.859245,0,7546,7552,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PV784347.1,75.92471,0,7549,7555,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6710
PX285872.1,76.41185,0,7538,7538,GII.P16,None,3572.0,5101.0,GII.2,None,5085,6713
PX285874.1,75.85586,0,7573,7567,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PX563327.1,75.942696,0,7573,7567,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PX631121.1,75.708435,0,7576,7570,GII.P16,None,3572.0,5101.0,GII.4,Sydney_2016,5085,6707
PZ136053.1,81.29303,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ136058.1,81.29303,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ221915.1,81.29303,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ221917.1,81.29303,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ221922.1,81.29303,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ221927.1,81.28674,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
PZ234772.1,75.891975,0,7550,7556,GII.P17,None,3581.0,5110.0,GII.17,None,5094,6716
PZ240487.1,75.630936,0,7566,7557,GII.P16,None,3569.0,5098.0,GII.4,Sydney_2016,5082,6704
PZ240506.1,75.614555,0,7563,7554,GII.P16,None,3569.0,5098.0,GII.4,Sydney_2016,5082,6704
KT202793.1,85.304245,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT202794.1,85.304245,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT202795.1,85.304245,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT202796.1,85.304245,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT202797.1,85.42937,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT202798.1,85.15663,0,7519,7513,GII.P31,None,,,GII.4,Sydney_2012,5085,6707
KT779557.1,76.16807,0,7552,7549,GII.P16,None,3500.0,5101.0,GII.3,None,5082,6728
KT970369.1,75.77985,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970370.1,75.77985,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970371.1,75.79618,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970372.1,75.84518,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970373.1,75.86151,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970374.1,75.82884,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970375.1,75.74718,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970376.1,75.812515,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KT970377.1,75.812515,0,7489,7495,GII.P17,None,,,GII.17,None,5094,6716
KX158279.1,85.19796,10,7558,7542,GII.P31,None,,,GII.4,Sydney_2012,5075,6697
KX158280.1,85.20953,12,7530,7512,GII.P31,None,,,GII.4,Sydney_2012,5073,6695
KX158281.1,87.49666,18,7560,7539,GII.P7,None,,,GII.6,None,5067,6710
KX158282.1,87.52335,21,7515,7491,GII.P7,None,,,GII.6,None,784,2427
KX158285.1,84.62332,284,7646,7356,GII.P31,None,,,GII.4,Sydney_2012,933,2555
KX586330.1,85.238335,4,7519,7509,GII.P31,None,3500.0,5100.0,GII.4,Sydney_2012,5081,6703
KY210920.3,76.893364,0,7509,7506,GII.P16,None,3569.0,5098.0,GII.13,None,5082,6710
KY210980.3,75.77854,4,7587,7577,GII.P16,None,3568.0,5097.0,GII.4,Sydney_2016,5081,6703
KY486271.1,85.3888,10,7567,7551,GII.P31,None,,,GII.4,Sydney_2012,5075,6697
KY496327.1,85.28784,0,7586,7580,GII.P31,None,3500.0,5104.0,GII.4,Sydney_2012,5085,6707
KY496328.1,69.802246,225,7485,7263,GII.P23,None,3500.0,4879.0,GII.23,None,4860,6491
KY905331.1,84.253914,-1,7551,7546,GII.P4,New_Orleans_2009,3500.0,5105.0,GII.4,Could not assign,5086,6708
LC342059.1,86.073425,0,7557,7557,GII.PNA7,None,3500.0,5104.0,GII.12,None,5085,6692
LC369214.1,75.86151,0,7585,7591,GII.P17,None,3500.0,5113.0,GII.17,None,5094,6716
LC369215.1,75.82543,5,7575,7576,GII.P17,None,3500.0,5108.0,GII.17,None,5089,6711
LC369216.1,75.818596,15,7533,7524,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6701
LC369217.1,75.78586,15,7533,7524,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6701
LC369218.1,75.813576,8,7535,7533,GII.P17,None,3500.0,5105.0,GII.17,None,5086,6708
LC369219.1,75.82884,0,7556,7562,GII.P17,None,3500.0,5113.0,GII.17,None,5094,6716
LC369220.1,75.75708,14,7568,7560,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369221.1,75.822556,14,7535,7527,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369222.1,75.8141,12,7583,7577,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369224.1,75.8141,12,7560,7554,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369225.1,75.89592,12,7555,7549,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369227.1,75.83838,10,7569,7565,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369228.1,75.72387,10,7622,7618,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369229.1,75.72387,10,7555,7551,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369230.1,75.74023,10,7555,7551,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369231.1,75.65843,10,7555,7551,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369232.1,75.756584,10,7560,7556,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369233.1,75.72387,10,7599,7595,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369234.1,75.74815,8,7615,7613,GII.P17,None,3500.0,5105.0,GII.17,None,5086,6708
LC369235.1,75.74815,8,7589,7587,GII.P17,None,3500.0,5105.0,GII.17,None,5086,6708
LC369236.1,75.747665,0,7556,7562,GII.P17,None,3500.0,5113.0,GII.17,None,5094,6716
LC369237.1,75.743706,5,7607,7608,GII.P17,None,3500.0,5108.0,GII.17,None,5089,6711
LC369238.1,75.6907,6,7556,7556,GII.P17,None,3500.0,5107.0,GII.17,None,5088,6710
LC369239.1,75.70797,14,7557,7549,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369240.1,75.699554,12,7560,7554,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369241.1,75.82148,6,7554,7554,GII.P17,None,3500.0,5107.0,GII.17,None,5088,6710
LC369242.1,75.85812,5,7588,7589,GII.P17,None,3500.0,5108.0,GII.17,None,5089,6711
LC369243.1,75.732285,12,7557,7551,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369244.1,75.82884,0,7555,7561,GII.P17,None,3500.0,5113.0,GII.17,None,5094,6716
LC369245.1,75.82543,5,7554,7555,GII.P17,None,3500.0,5108.0,GII.17,None,5089,6711
LC369246.1,75.92078,14,7555,7547,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369247.1,75.75708,14,7555,7547,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369248.1,75.78982,14,7555,7547,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6702
LC369249.1,75.830475,12,7555,7549,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6704
LC369251.1,75.077835,15,7536,7539,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6695
LC369252.1,75.78586,15,7554,7545,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6701
LC369253.1,75.78586,15,7555,7546,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6701
LC369254.1,75.86151,0,7541,7547,GII.P17,None,3500.0,5113.0,GII.17,None,5094,6716
LC369255.1,75.82202,10,7592,7588,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369256.1,75.7893,10,7559,7555,GII.P17,None,3500.0,5103.0,GII.17,None,5084,6706
LC369257.1,75.70705,5,7589,7590,GII.P17,None,3500.0,5108.0,GII.17,None,5089,6711
LC369258.1,75.74355,54,7535,7484,GII.P17,None,3500.0,5056.0,GII.17,None,5037,6659
LC769681.1,84.6798,9,7575,7563,GII.P31,None,3500.0,5095.0,GII.4,Could not assign,5076,6701
LC769682.1,76.27375,7,7571,7564,GII.P16,None,3500.0,5097.0,GII.3,None,5078,6724
LC769683.1,75.68459,11,7575,7558,GII.P16,None,3500.0,5093.0,GII.4,Sydney_2016,5074,6696
LC769684.1,75.65605,14,7558,7538,GII.P16,None,3500.0,5090.0,GII.4,Sydney_2016,5071,6693
LC769685.1,75.72864,0,7571,7565,GII.P16,None,3500.0,5104.0,GII.4,Sydney_2016,5085,6707
LC769688.1,75.70983,11,7582,7565,GII.P16,None,3500.0,5093.0,GII.4,Sydney_2016,5074,6696
LC769689.1,76.36272,10,7552,7542,GII.P16,None,3500.0,5094.0,GII.3,None,5075,6721
LC769691.1,75.62304,14,7578,7558,GII.P16,None,3500.0,5090.0,GII.4,Sydney_2016,5071,6693
LC769692.1,75.693985,21,7574,7547,GII.P16,None,3500.0,5083.0,GII.4,Sydney_2016,5064,6686
LC769693.1,75.712166,10,7559,7543,GII.P16,None,3500.0,5094.0,GII.4,Sydney_2016,5075,6697
LC769694.1,75.67523,0,7571,7565,GII.P16,None,3500.0,5104.0,GII.4,Sydney_2016,5085,6707
LC769695.1,75.746086,8,7562,7548,GII.P16,None,3500.0,5096.0,GII.4,Sydney_2016,5077,6699
LC769696.1,75.726074,13,7578,7559,GII.P16,None,3500.0,5091.0,GII.4,Sydney_2016,5072,6694
LC769697.1,75.60936,0,7581,7575,GII.P16,None,3500.0,5104.0,GII.4,Sydney_2016,5085,6707
LC769698.1,75.71311,8,7561,7547,GII.P16,None,3500.0,5096.0,GII.4,Sydney_2016,5077,6699
LC769699.1,75.62148,37,7565,7522,GII.P16,None,3500.0,5067.0,GII.4,Sydney_2016,5048,6670
LC769700.1,68.06236,-36,7535,7577,GII.P38,None,3500.0,5140.0,GII.17,None,5121,6734
LC769701.1,84.42947,17,7587,7567,GII.P31,None,3500.0,5087.0,GII.4,Could not assign,5068,6693
LC769702.1,77.13642,12,7518,7521,GII.P16,None,3500.0,5092.0,GII.16,None,5073,6695
LC769703.1,76.71486,10,7480,7470,GII.P16,None,3500.0,5094.0,GII.13,None,5075,6703
LC769704.1,76.46169,1,7521,7520,GII.P16,None,3500.0,5103.0,GII.3,None,5084,6730
LC769705.1,75.92715,9,7581,7566,GII.P16,None,3500.0,5095.0,GII.4,Sydney_2016,5076,6698
LC769706.1,76.30204,21,7546,7525,GII.P16,None,3500.0,5083.0,GII.3,None,5064,6710
LC769707.1,75.77957,12,7571,7553,GII.P16,None,3500.0,5092.0,GII.4,Sydney_2016,5073,6695
LC769708.1,75.97167,0,7577,7571,GII.P16,None,3500.0,5104.0,GII.4,Sydney_2016,5085,6707
LC769709.1,76.22813,10,7553,7543,GII.P16,None,3500.0,5094.0,GII.3,None,5075,6721
LC769712.1,76.34897,5,7541,7536,GII.P16,None,3500.0,5099.0,GII.3,None,5080,6726
LC769713.1,76.34499,6,7558,7552,GII.P16,None,3500.0,5098.0,GII.3,None,5079,6725
LC769714.1,75.66408,12,7550,7532,GII.P16,None,3500.0,5092.0,GII.4,Sydney_2016,5073,6695
LC769715.1,76.42701,15,7546,7531,GII.P16,None,3500.0,5089.0,GII.3,None,5070,6716
LC777250.1,75.942696,0,7576,7570,GII.P16,None,3500.0,5104.0,GII.4,Sydney_2016,5085,6707
LC868426.1,75.83265,15,7504,7495,GII.P17,None,3500.0,5098.0,GII.17,None,5079,6695
LC868427.1,75.87734,12,7501,7495,GII.P17,None,3500.0,5101.0,GII.17,None,5082,6698
LC868428.1,75.85302,14,7504,7496,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6696
LC868429.1,75.885826,14,7496,7488,GII.P17,None,3500.0,5099.0,GII.17,None,5080,6696
